,depth below surface (mm),pex_x,pex_y,pex_z,mean_pex (mm),pc_x,pc_y,pc_z ,mean_pc (mm),phi_i,rho (kgm-3),ssa (mm-1),,,pex [(px+py+pz)/3] (mm),Aniso [(pex_x+pex_y)/2]/pex_z
NaN,121.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,122.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,124.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,125.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
'D0001412_GREY_TOP00_corr.dat',126.72,0.102251574,0.107327874,0.08294329,0.093866507,0.145724234,0.151184857,0.122661196,0.135557871,0.194951,178.770067,23.75513856,,,0.097507775,1.26339001
'D0001412_GREY_TOP01_corr.dat',128,0.103655568,0.104106387,0.08528835,0.094584663,0.145397716,0.150478859,0.124196939,0.136067613,0.180148,165.195716,24.10131199,,,0.097683656,1.217997273
'D0001412_GREY_TOP02_corr.dat',129.28,0.097564333,0.103606361,0.088568868,0.094577107,0.137498622,0.144090296,0.125487089,0.133140774,0.183269,168.057673,24.5373667,,,0.096579926,1.13567385
'D0001412_GREY_TOP03_corr.dat',130.56,0.096835461,0.107351202,0.089112809,0.09560307,0.130625665,0.139291249,0.123469593,0.129214025,0.179684,164.770228,25.39402361,,,0.09776645,1.145663934
'D0001412_GREY_TOP04_corr.dat',131.84,0.098978441,0.108450925,0.087805814,0.095760248,0.128013783,0.137267646,0.122411288,0.127526001,0.175787,161.196679,25.85239067,,,0.098411776,1.181182402
'D0001412_GREY_TOP05_corr.dat',133.12,0.102596599,0.108967006,0.086390584,0.096086193,0.130336072,0.13698884,0.121100626,0.127381541,0.170101,155.982617,26.06025933,,,0.099318425,1.224459855
